Run,Time,Accuracy
1,114.885039895,0.8936107639144181
2,146.447101047,0.8936107639144181
3,146.120691497,0.8936107639144181
4,145.892185795,0.8936107639144181
5,146.204747101,0.8936107639144181
6,146.020039221,0.8936107639144181
7,146.542811965,0.8936107639144181
8,146.158301397,0.8936107639144181
9,144.733925664,0.8936107639144181
10,144.475684928,0.8936107639144181
11,144.489575366,0.8936107639144181
12,144.355579268,0.8936107639144181
13,145.014667037,0.8936107639144181
14,144.900040514,0.8936107639144181
15,145.277177376,0.8936107639144181
16,145.089244877,0.8936107639144181
17,145.149526899,0.8936107639144181
18,144.946286204,0.8936107639144181
19,145.104289881,0.8936107639144181
20,145.785967151,0.8936107639144181
21,144.55787435,0.8936107639144181
22,145.056163065,0.8936107639144181
23,145.317451155,0.8936107639144181
24,145.343435083,0.8936107639144181
25,145.585655256,0.8936107639144181
26,144.985039596,0.8936107639144181
27,145.322194548,0.8936107639144181
28,145.458831544,0.8936107639144181
29,145.645660854,0.8936107639144181
30,145.821872737,0.8936107639144181
